Start Date,End Date,Start Time,End Time,SiteID,TTrtmnt,STrtmnt,Duration,Rem,RemNo,Latency,Time at Removal,Weather Conditions ,Dispersal Method,Notes
5/22/2022,5/22/2022,8:28,19:42,3A,DAY,CONTROL,,1,2,,10:54,FAIR,Tunneler,
5/22/2022,5/22/2022,8:09,19:40,3A,DAY,FRUIT,,1,2,,10:22,FAIR,Tunneler,
5/22/2022,5/22/2022,9:35,20:16,3B,DAY,FRUIT,,1,6,,14:10,FAIR,Shredding,
5/22/2022,5/22/2022,9:36,20:18,3B,DAY,CONTROL,,1,1,,17:00,FAIR,Tunneler,Butterfly
5/22/2022,5/22/2022,9:44,20:23,4A,DAY,CONTROL,,0,NA,NA,NA,FAIR,NA,Snake
5/22/2022,5/22/2022,9:47,20:25,4A,DAY,FRUIT,,1,9,,11:20,FAIR,Tunneler,cricket???
5/22/2022,5/22/2022,10:25,21:01,4B,DAY,CONTROL,,1,1,,11:43,FAIR,Roller,
5/22/2022,5/22/2022,10:06,18:00,4B,DAY,FRUIT,,1,3,,11:56,FAIR,Roller,
5/22/2022,5/23/2022,20:10,7:21,3A,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,19:55,7:20,3A,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,20:28,7:47,3B,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,20:34,6:48,3B,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,20:37,7:51,4A,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,20:35,7:52,4A,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,NA,NA,4B,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,20:52,0:55,4B,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/23/2022,5/24/2022,NA,NA,3A,NIGHT,CONTROL,,1,4,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,19:30,NA,3A,NIGHT,FRUIT,,0,NA,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,20:17,8:05,3B,NIGHT,CONTROL,,0,NA,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,20:20,8:05,3B,NIGHT,FRUIT,,0,NA,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,20:15,8:24,4A,NIGHT,CONTROL,,0,NA,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,20:13,8:32,4A,NIGHT,FRUIT,,0,NA,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,20:49,9:09,4B,NIGHT,CONTROL,,0,NA,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,20:38,8:46,4B,NIGHT,FRUIT,,0,NA,NA,NA,RAIN,NA,
5/24/2022,5/24/2022,7:40,19:46,3A,DAY,CONTROL,,1,2,,13:25,RAIN,Tunneler,17:05 -scat removal after rain
5/24/2022,5/24/2022,7:38,19:21,3A,DAY,FRUIT,,0,NA,NA,NA,RAIN,NA,
5/24/2022,5/24/2022,8:14,20:09,3B,DAY,CONTROL,,1,2,,11:06,RAIN,Tunneler,
5/24/2022,5/24/2022,8:14,20:16,3B,DAY,FRUIT,,0,1,NA,NA,RAIN,NA,
5/24/2022,5/24/2022,8:31,20:13,4A,DAY,CONTROL,,0,NA,NA,NA,RAIN,NA,14:17 - SICK PLANT FOOTAGE
5/24/2022,5/24/2022,8:38,20:18,4A,DAY,FRUIT,,1,9,,12:10,RAIN,Tunneler,17:15 19:24 - RODENT; SHREDDING
5/24/2022,5/24/2022,9:12,20:44,4B,DAY,CONTROL,,1,1,,12:55,RAIN,Roller,
5/24/2022,5/24/2022,8:59,20:03,4B,DAY,FRUIT,,1,7,,10:32,RAIN,Tunneler,
5/25/2022,5/25/2022,7:31,19:16,3A,DAY,CONTROL,,1,1,,8:05,FAIR,Tunneler,
5/25/2022,5/25/2022,7:33,19:18,3A,DAY,FRUIT,,1,6,,12:35,FAIR,Roller,SHREDDING
5/25/2022,5/25/2022,NA,NA,3B,DAY,CONTROL,NA,0,0,NA,NA,FAIR,NA,
5/25/2022,5/25/2022,8:18,19:50,3B,DAY,FRUIT,,1,5,,15:16,FAIR,Roller + Tunneler,Butterfly - 10:30; 2 INDIVIDUALS
5/25/2022,5/25/2022,8:26,19:56,4A,DAY,CONTROL,,1,1,,16:26,FAIR,Roller,
5/25/2022,5/25/2022,8:23,19:58,4A,DAY,FRUIT,,0,NA,NA,NA,FAIR,NA,16:16 - RODENT; 17:30 - RODENT
5/25/2022,5/25/2022,9:03,20:28,4B,DAY,CONTROL,,1,1,,13:49,FAIR,Tunneler,
5/25/2022,5/25/2022,8:43,20:12,4B,DAY,FRUIT,,1,5,,11:37,FAIR,Tunneler,SHREDDING
5/25/2022,5/26/2022,19:27,6:43,3A,NIGHT,CONTROL,,1,1,,21:22,FAIR,Tunneler,
5/25/2022,5/26/2022,19:27,6:45,3A,NIGHT,FRUIT,,1,2,,21:19,FAIR,Tunneler,
5/25/2022,5/26/2022,NA,NA,3B,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/25/2022,5/26/2022,20:07,7:16,3B,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/25/2022,5/26/2022,20:03,7:45,4A,NIGHT,CONTROL,,1,1,,21:14,FAIR,Roller,
5/25/2022,5/26/2022,20:02,6:36,4A,NIGHT,FRUIT,,0,NA,,NA,FAIR,Tunneler,
5/25/2022,5/26/2022,20:42,7:47,4B,NIGHT,FRUIT,,1,1,,22:56,FAIR,Tunneler,7:17 - RODENT
5/25/2022,5/26/2022,20:27,7:58,4B,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,20:35 7:41 - RODENT
5/27/2022,5/27/2022,7:17,19:12,3A,DAY,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/27/2022,7:17,19:13,3A,DAY,FRUIT,,1,7,,11:00,FAIR,Shredding,
5/27/2022,5/27/2022,7:43,19:40,3B,DAY,CONTROL,,1,2,,16:58,FAIR,Shredding,
5/27/2022,5/27/2022,NA,NA,3B,DAY,FRUIT,,1,7,NA,NA,FAIR,Shredding,Camera on/ no pictures
5/27/2022,5/27/2022,NA,NA,4A,DAY,CONTROL,,1,10,NA,NA,FAIR,Shredding,Camera on/ no pictures
5/27/2022,5/27/2022,NA,NA,4A,DAY,FRUIT,,1,1,NA,NA,FAIR,Tunneler,
5/27/2022,5/27/2022,NA,NA,4B,DAY,CONTROL,,1,1,,13:11,FAIR,Tunneler,
5/27/2022,5/27/2022,8:13,20:09,4B,DAY,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/28/2022,NA,NA,3A,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/28/2022,19:18,7:25,3A,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/28/2022,19:50,7:46,3B,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/28/2022,19:51,7:07,3B,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/28/2022,19:44,7:48,4A,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/27/2022,5/28/2022,19:45,7:48,4A,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
